iter	Passed	Remaining
0	140	140424
1	236	118181
2	361	120217
3	455	113352
4	558	111134
5	667	110560
6	779	110508
7	891	110579
8	1001	110284
9	1115	110476
10	1210	108856
11	1320	108752
12	1428	108489
13	1562	110029
14	1649	108327
15	1763	108426
16	1881	108813
17	2002	109230
18	2084	107644
19	2177	106680
20	2304	107444
21	2421	107645
22	2544	108070
23	2646	107618
24	2749	107214
25	2836	106265
26	2935	105786
27	3021	104891
28	3107	104039
29	3232	104523
30	3330	104091
31	3444	104196
32	3559	104296
33	3654	103825
34	3757	103595
35	3852	103154
36	3949	102788
37	4061	102816
38	4137	101939
39	4225	101418
40	4303	100669
41	4405	100479
42	4516	100510
43	4611	100202
44	4694	99626
45	4815	99875
46	4902	99399
47	5016	99493
48	5095	98889
49	5192	98666
50	5294	98517
51	5393	98325
52	5503	98336
53	5621	98474
54	5729	98437
55	5836	98389
56	5936	98213
57	6026	97872
58	6111	97477
59	6181	96848
60	6284	96732
61	6386	96623
62	6479	96371
63	6601	96545
64	6695	96317
65	6786	96040
66	6886	95895
67	6979	95666
68	7084	95588
69	7184	95454
70	7289	95374
71	7380	95129
72	7476	94936
73	7560	94606
74	7659	94467
75	7770	94474
76	7868	94322
77	7967	94180
78	8072	94112
79	8176	94026
80	8268	93810
81	8369	93696
82	8493	93840
83	8610	93892
84	8711	93781
85	8838	93939
86	8939	93818
87	9037	93661
88	9165	93819
89	9268	93712
90	9363	93529
91	9440	93175
92	9515	92804
93	9606	92589
94	9711	92519
95	9813	92409
96	9923	92384
97	10009	92129
98	10092	91853
99	10184	91658
100	10262	91343
101	10374	91338
102	10468	91169
103	10565	91023
104	10661	90874
105	10739	90579
106	10836	90437
107	10945	90397
108	11049	90324
109	11151	90228
110	11253	90130
111	11334	89863
112	11425	89686
113	11510	89460
114	11610	89348
115	11688	89071
116	11777	88884
117	11863	88677
118	11957	88526
119	12052	88382
120	12160	88340
121	12259	88231
122	12349	88053
123	12412	87689
124	12498	87492
125	12604	87432
126	12675	87128
127	12772	87013
128	12854	86789
129	12977	86848
130	13046	86542
131	13158	86528
132	13256	86419
133	13364	86372
134	13476	86350
135	13577	86260
136	13656	86026
137	13725	85732
138	13832	85684
139	13916	85484
140	14023	85433
141	14110	85261
142	14227	85267
143	14329	85178
144	14436	85125
145	14490	84757
146	14598	84709
147	14685	84539
148	14788	84461
149	14875	84294
150	14972	84181
151	15071	84085
152	15176	84017
153	15300	84051
154	15396	83933
155	15494	83828
156	15602	83778
157	15695	83641
158	15800	83575
159	15916	83560
160	16020	83488
161	16105	83308
162	16206	83220
163	16313	83158
164	16395	82971
165	16510	82948
166	16587	82740
167	16673	82572
168	16768	82451
169	16859	82313
170	16940	82125
171	17034	82002
172	17098	81735
173	17199	81647
174	17264	81391
175	17373	81340
176	17475	81256
177	17587	81217
178	17668	81040
179	17770	80955
180	17866	80844
181	17976	80794
182	18073	80688
183	18161	80540
184	18247	80387
185	18352	80317
186	18446	80196
187	18539	80073
188	18631	79948
189	18727	79838
190	18835	79778
191	18935	79688
192	19015	79510
193	19108	79390
194	19204	79279
195	19313	79223
196	19411	79124
197	19491	78948
198	19626	79000
199	19751	79006
200	19852	78915
201	19953	78824
202	20032	78651
203	20126	78532
204	20235	78474
205	20323	78332
206	20432	78275
207	20559	78283
208	20650	78153
209	20717	77938
210	20838	77921
211	20927	77786
212	21038	77733
213	21183	77804
214	21260	77625
215	21337	77448
216	21442	77372
217	21576	77399
218	21680	77316
219	21781	77224
220	21886	77146
221	21958	76952
222	22047	76820
223	22139	76696
224	22242	76611
225	22355	76561
226	22429	76379
227	22525	76270
228	22651	76263
229	22758	76189
230	22868	76129
231	22978	76066
232	23099	76041
233	23189	75911
234	23312	75888
235	23432	75858
236	23557	75839
237	23668	75777
238	23771	75692
239	23853	75536
240	23952	75436
241	24035	75285
242	24130	75171
243	24245	75122
244	24362	75076
245	24454	74954
246	24560	74874
247	24660	74776
248	24755	74664
249	24834	74502
250	24929	74391
251	25012	74243
252	25082	74056
253	25177	73946
254	25274	73842
255	25371	73736
256	25477	73656
257	25554	73494
258	25664	73426
259	25748	73283
260	25861	73223
261	25949	73093
262	26055	73015
263	26143	72884
264	26258	72830
265	26366	72755
266	26460	72642
267	26552	72524
268	26663	72456
269	26769	72376
270	26894	72345
271	26992	72243
272	27107	72187
273	27207	72089
274	27313	72008
275	27430	71954
276	27524	71841
277	27639	71782
278	27745	71701
279	27820	71538
280	27898	71384
281	28006	71306
282	28114	71229
283	28230	71171
284	28347	71118
285	28440	71001
286	28567	70971
287	28669	70876
288	28763	70763
289	28854	70644
290	28944	70522
291	29024	70374
292	29134	70300
293	29237	70209
294	29311	70048
295	29403	69933
296	29514	69860
297	29616	69768
298	29733	69709
299	29858	69669
300	29945	69541
301	30039	69429
302	30137	69327
303	30268	69299
304	30360	69181
305	30452	69065
306	30555	68973
307	30638	68837
308	30744	68752
309	30825	68612
310	30936	68537
311	31047	68462
312	31154	68381
313	31245	68262
314	31351	68176
315	31434	68042
316	31582	68046
317	31708	68002
318	31788	67862
319	31868	67721
320	31952	67588
321	32036	67456
322	32107	67296
323	32205	67193
324	32287	67058
325	32372	66929
326	32462	66811
327	32534	66656
328	32642	66575
329	32755	66502
330	32838	66371
331	32963	66323
332	33084	66269
333	33189	66180
334	33299	66102
335	33391	65987
336	33472	65852
337	33571	65752
338	33677	65665
339	33771	65556
340	33887	65488
341	34009	65433
342	34105	65328
343	34198	65214
344	34285	65092
345	34394	65012
346	34487	64899
347	34588	64802
348	34673	64678
349	34766	64567
350	34857	64451
351	34978	64391
352	35103	64339
353	35195	64226
354	35281	64103
355	35373	63990
356	35469	63884
357	35551	63754
358	35647	63649
359	35743	63544
360	35853	63463
361	35966	63387
362	36057	63273
363	36161	63183
364	36254	63073
365	36329	62932
366	36416	62810
367	36492	62672
368	36578	62549
369	36690	62472
370	36810	62409
371	36899	62291
372	36997	62190
373	37092	62086
374	37190	61983
375	37295	61894
376	37384	61778
377	37483	61679
378	37588	61590
379	37692	61498
380	37785	61388
381	37887	61294
382	37949	61135
383	38045	61031
384	38157	60952
385	38275	60883
386	38354	60752
387	38470	60680
388	38569	60581
389	38677	60496
390	38755	60363
391	38852	60260
392	38965	60183
393	39084	60115
394	39192	60029
395	39293	59931
396	39386	59824
397	39492	59734
398	39609	59662
399	39693	59540
400	39790	59438
401	39879	59323
402	39994	59247
403	40107	59168
404	40197	59055
405	40304	58967
406	40405	58871
407	40504	58770
408	40616	58690
409	40723	58601
410	40847	58538
411	40928	58413
412	41050	58345
413	41161	58262
414	41252	58151
415	41322	58010
416	41413	57899
417	41513	57801
418	41617	57708
419	41720	57613
420	41830	57529
421	41935	57437
422	42037	57341
423	42132	57236
424	42239	57147
425	42355	57070
426	42455	56971
427	42553	56870
428	42638	56752
429	42740	56656
430	42809	56515
431	42893	56397
432	42959	56254
433	43051	56145
434	43131	56021
435	43231	55923
436	43311	55799
437	43400	55686
438	43468	55548
439	43536	55410
440	43632	55307
441	43731	55208
442	43828	55106
443	43928	55009
444	44022	54904
445	44126	54811
446	44220	54706
447	44333	54624
448	44411	54500
449	44500	54389
450	44617	54312
451	44710	54206
452	44833	54136
453	44923	54027
454	45016	53920
455	45107	53812
456	45194	53699
457	45287	53593
458	45358	53461
459	45447	53351
460	45527	53230
461	45640	53148
462	45714	53021
463	45807	52916
464	45901	52811
465	45994	52706
466	46124	52642
467	46225	52547
468	46301	52422
469	46394	52317
470	46493	52219
471	46601	52130
472	46713	52046
473	46802	51936
474	46925	51864
475	47027	51770
476	47135	51681
477	47238	51586
478	47300	51447
479	47409	51360
480	47511	51265
481	47591	51146
482	47677	51034
483	47770	50928
484	47867	50827
485	48009	50775
486	48114	50682
487	48220	50591
488	48335	50509
489	48431	50408
490	48505	50283
491	48598	50179
492	48694	50077
493	48800	49986
494	48913	49901
495	49025	49815
496	49164	49758
497	49269	49665
498	49386	49584
499	49490	49490
500	49584	49386
501	49682	49286
502	49761	49167
503	49854	49063
504	49954	48965
505	50044	48858
506	50190	48804
507	50340	48754
508	50451	48667
509	50540	48558
510	50632	48452
511	50739	48360
512	50846	48269
513	50957	48181
514	51061	48087
515	51175	48002
516	51350	47973
517	51446	47871
518	51543	47769
519	51640	47668
520	51710	47541
521	51815	47447
522	51914	47348
523	52015	47250
524	52099	47137
525	52201	47040
526	52288	46931
527	52408	46850
528	52514	46756
529	52619	46662
530	52731	46574
531	52815	46461
532	52917	46364
533	53025	46273
534	53134	46182
535	53258	46104
536	53363	46009
537	53481	45926
538	53612	45853
539	53702	45746
540	53797	45643
541	53919	45562
542	53997	45445
543	54097	45346
544	54223	45269
545	54318	45166
546	54412	45062
547	54532	44979
548	54620	44870
549	54745	44791
550	54844	44692
551	54955	44601
552	55075	44518
553	55161	44407
554	55239	44290
555	55352	44202
556	55452	44102
557	55547	43999
558	55641	43895
559	55734	43791
560	55856	43709
561	55950	43605
562	56059	43513
563	56147	43405
564	56239	43299
565	56347	43206
566	56446	43106
567	56550	43010
568	56645	42907
569	56745	42807
570	56847	42710
571	56953	42615
572	57054	42517
573	57152	42416
574	57261	42324
575	57358	42222
576	57448	42115
577	57552	42019
578	57659	41925
579	57753	41821
580	57835	41709
581	57932	41607
582	58041	41515
583	58121	41401
584	58224	41304
585	58306	41192
586	58427	41108
587	58523	41006
588	58601	40891
589	58693	40786
590	58785	40682
591	58885	40582
592	58990	40487
593	59065	40371
594	59161	40269
595	59238	40154
596	59326	40047
597	59409	39937
598	59510	39839
599	59619	39746
600	59723	39649
601	59791	39529
602	59878	39422
603	59986	39328
604	60097	39236
605	60184	39130
606	60285	39031
607	60371	38923
608	60478	38829
609	60567	38723
610	60651	38614
611	60726	38500
612	60849	38415
613	60965	38327
614	61082	38238
615	61169	38131
616	61286	38043
617	61387	37945
618	61492	37849
619	61585	37745
620	61700	37655
621	61813	37564
622	61933	37478
623	62018	37370
624	62156	37293
625	62244	37187
626	62348	37090
627	62447	36991
628	62544	36890
629	62650	36794
630	62736	36687
631	62845	36593
632	62924	36482
633	63001	36370
634	63092	36265
635	63206	36174
636	63314	36080
637	63415	35982
638	63511	35880
639	63602	35776
640	63694	35673
641	63809	35582
642	63940	35500
643	64025	35392
644	64114	35287
645	64194	35177
646	64302	35083
647	64395	34980
648	64482	34874
649	64575	34771
650	64685	34678
651	64769	34570
652	64891	34483
